hour,alone_ratio
0,0.7357473936848421
1,0.6640925535265987
2,0.1271819970792054
3,0.7900711616953897
4,0.7985423142292792
5,0.8271794768041758
6,0.7288209483668506
7,0.6582687360225993
8,0.6422412715065986
9,0.6593473038699
10,0.6597937357433704
11,0.6351032095929349
12,0.626162400799633
13,0.6305617371041918
14,0.6157965264479064
15,0.5836495774113039
16,0.5783684954028646
17,0.5226164648588761
18,0.48386356210956344
19,0.46047076039712453
20,0.48342411767125054
21,0.5487432199495905
22,0.6100977410390135
23,0.7053834668601626
